,id,duration,n_bids,cond,start_pr,ship_pr,total_pr,ship_sp,seller_rating,stock_photo,wheels,title
1,1.50377E+11,3,20,new,0.99,4,51.55,standard,1580,yes,1,~~ Wii MARIO KART &amp; WHEEL ~ NINTENDO Wii ~ BRAND NEW ~~
2,2.60483E+11,7,13,used,0.99,3.99,37.04,firstClass,365,yes,1,Mariokart Wii Nintendo with wheel - Mario Kart Nintendo
3,3.20432E+11,3,16,new,0.99,3.5,45.5,firstClass,998,no,1,Mario Kart Wii (Wii)
4,2.80405E+11,3,18,new,0.99,0,44,standard,7,yes,1,Brand New Mario Kart Wii Comes with Wheel. Free Ship
5,1.70392E+11,1,20,new,0.01,0,71,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
6,3.60195E+11,3,19,new,0.99,4,45,standard,270144,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
7,1.20478E+11,1,13,used,0.01,0,37.02,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
8,3.00356E+11,1,15,new,1,2.99,53.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
9,2.00392E+11,3,29,used,0.99,4,47,priority,27,yes,1,Wii game Mario Kart in box with 1 wheel Fast Shipping
10,3.30364E+11,7,8,used,19.99,4,50,firstClass,201,no,1,"Nintendo Wii : Mario Kart Wii w/ Wii Wheel (2008, MINT)"
11,2.90356E+11,1,15,new,1,2.99,54.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
12,1.80415E+11,1,15,new,0.01,0,56.01,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
13,3.00353E+11,1,13,new,1,2.99,48,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
14,1.80415E+11,1,16,new,0.01,0,56,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
15,2.50505E+11,7,6,used,24.99,4,43.33,standard,154,yes,1,Mario Kart Wii (Wii) w/ Wii Wheel
16,1.20475E+11,7,22,used,0.99,4,46,media,309,yes,0,Mario Kart Wii (Wii) - GAME ONLY
17,1.4035E+11,3,14,new,0.99,8.7,46.71,priority,251,yes,1,"Wii Mario Kart game + wheel:  NIB, factory sealed"
18,2.80407E+11,3,23,new,0.99,0,46,standard,7,yes,1,Brand New Mario Kart Wii Comes with Wheel. Free Ship
19,2.90357E+11,1,10,new,1,2.99,55.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
20,1.10439E+11,7,22,used,1,25.51,326.51,parcel,115,no,2,Nintedo Wii Console Bundle Guitar Hero 5 Mario Kart 
21,2.60486E+11,1,7,used,0.99,0,31,standard,4982,yes,0,Super Mario Kart Nintendo Wii Video Game Driving SMK
22,2.90357E+11,1,16,new,1,2.99,53.98,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
23,3.50262E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,MARIO KART WITH WII OFFICIAL WHEEL+1 COBALT BLUE WHEEL
24,1.10441E+11,1,18,new,1,2.99,50.5,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
25,1.10443E+11,3,12,used,0.01,4,46.5,firstClass,172,yes,1,Mario Kart Wii (Wii) Includes Steering Wheel!
26,1.80417E+11,1,19,new,0.01,0,55,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
27,1.40351E+11,3,5,used,15,3.5,34.5,firstClass,37,yes,0,Mario Kart Wii (Wii)
28,3.00353E+11,3,5,used,0.99,0,36,upsGround,15,yes,0,Mario Kart Wii (Wii)
29,1.40351E+11,1,13,used,0.99,4,40,standard,4200,no,0,MARIO KART for Nintendo Wii
30,3.20431E+11,7,15,new,9.99,4,47,parcel,62,yes,1,Mario Kart Wii (Wii) - Brand New &amp; Sealed!!
31,1.70391E+11,1,11,used,10,4,43,priority,18,yes,0,Mario Kart Wii (Wii)
32,3.2043E+11,7,14,used,1.99,0,31,media,166,yes,0,Mario Kart Wii (Wii)
33,3.90101E+11,5,13,used,0.99,4,41.99,standard,16041,yes,1,Mario Kart Wii (Wii)
34,1.70389E+11,5,24,used,0.99,3.99,49.49,upsGround,27,yes,2,NA
35,1.90339E+11,3,10,used,0.99,0,41,priority,42241,yes,1,Mario Kart &amp; Wheel Nintendo Wii Game Free Priority Mail
36,1.50378E+11,3,15,used,0.99,8.7,44.78,priority,88,yes,1,MarioKart Wii
37,1.10442E+11,3,16,used,0.99,4,47,firstClass,1270,no,0,Mario Kart Wii (Wii) COMPLETE 
38,1.40349E+11,7,17,used,15,4,44,priority,2131,no,1,Mario Kart Wii Complete
39,2.90357E+11,1,9,new,1,2.99,63.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
40,2.90356E+11,1,14,new,1,2.99,53.76,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
41,2.60483E+11,7,5,new,30,0,46.03,firstClass,555,no,1,New Nintendo Super Mario Kart Wii with Steering Wheel
42,3.60194E+11,3,13,used,0.99,0,42.25,priority,42241,no,1,Mario Kart &amp; Wheel Nintendo Wii Game Free Priority Mail
43,3.20434E+11,1,14,used,0.99,4,46,priority,34,no,2,Mario Kart with 2 wheels by Wii
44,1.10444E+11,1,29,new,1,2.99,51.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
45,1.10443E+11,1,17,new,1,2.99,55.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
46,1.80414E+11,3,8,used,9.99,3.99,41.99,firstClass,69,yes,1,Mario Kart Wii with Wii Wheel for Nintendo Wii FASTSHIP
47,2.90358E+11,1,12,new,1,2.99,53.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
48,1.90338E+11,7,20,used,15,0,39,firstClass,422,yes,0,Mario Kart Wii (Wii) Used Ships Free!
49,3.80164E+11,7,21,used,0.99,3,38.06,firstClass,8625,yes,0,MARIO KART - NINTENDO WII =============================
50,1.60366E+11,7,16,used,0.99,0,46,priority,90,no,1,Mario Kart Wii (Wii) USED ONLY ONCE! MINT CONDITION!
51,1.10443E+11,1,10,new,1,2.99,59.88,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
52,2.60487E+11,1,17,used,0.99,0,28.98,standard,4982,yes,0,Super Mario Kart Nintendo Wii Video Game Driving SMK
53,1.80415E+11,3,16,used,0.99,0,36,standard,2046,no,1,Mario Kart Wii Nintendo Wii Game &amp; Wheel
54,3.30365E+11,3,2,new,51.99,0,51.99,other,223861,yes,0,NINTENDO WII SUPER Mario Kart GAME ONLY NO Wheel NEW *
55,3.00354E+11,7,16,used,0.99,2.95,43.95,firstClass,943,yes,0,Wii Mario Kart Great Condition!
56,2.50508E+11,1,14,used,0.99,0,32,standard,206,yes,0,Mario Kart Wii (Wii) game 
57,2.30383E+11,7,10,used,0.99,4,40.06,firstClass,4473,no,1,Mario Kart Wii (Wii) - Comes with Wheel - Used
58,2.90356E+11,5,7,used,25,2.99,48,priority,239,no,1,Mario Kart Wii + Wheel
59,2.30382E+11,7,16,used,0.99,4,36,parcel,355,no,0,Mario Kart Wii (Wii)
60,1.80414E+11,10,3,used,30,0,31,priority,19,no,0,Mario Kart Wii Good Condition (No Wii Wheel)
61,2.90356E+11,1,23,new,1,2.99,53.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
62,1.20478E+11,1,12,used,0.01,0,30,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
63,3.00355E+11,1,9,new,1,2.99,58,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
64,1.30334E+11,5,18,used,9.99,3.59,38.1,firstClass,861,no,0,MarioKart Mario Kart Nintendo Wii Rare great game race
65,1.30335E+11,3,27,used,6.95,4,118.5,parcel,41,no,0,"10 Nintendo Wii Games - MarioKart Wii, SpiderMan 3, etc"
66,1.1044E+11,7,12,used,30,0,61.76,standard,27,yes,2,Mario Kart Wii (Wii) game and 2 wheels!
67,1.10441E+11,1,13,new,1,2.99,53.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
68,1.60367E+11,7,14,used,0.99,3,40,media,88,yes,1,Mario Kart Wii (Wii)
69,3.60193E+11,7,12,used,0.99,4,64.5,standard,991,no,3,Wii  MARIO KART GAME  PLUS 3 STEERING WHEELS!   Wii 
70,1.20474E+11,7,16,used,5,4,49.01,upsGround,285,no,2,Mario Kart For Wii with 2-steering wheels NO RESERVE
71,1.10442E+11,3,9,new,25,4,47,ups3Day,627,yes,1, Mario Kart Wii with Wii Wheel for Wii (New)
72,1.60367E+11,3,17,used,0.99,0,40.1,standard,2046,no,1,Mario Kart Wii Nintendo Wii Game &amp; Wheel
73,3.20429E+11,7,16,new,0.99,3.5,41.5,firstClass,998,no,1,Mario Kart Wii (Wii)
74,1.80415E+11,1,20,new,0.01,0,56,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
75,4.00077E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,NEW MARIO KART GAME+OFFICIAL WHITE+CRIMSON RED WHEELS!!
76,1.10443E+11,1,13,used,0.99,8.02,49,parcel,350,no,2, NINTENDO Wii Mario Kart 2 wheels 1 reg &amp; 1 sport NR E
77,1.4035E+11,3,4,used,34.99,4,48,standard,85,yes,1,Mario Kart Wii (Wii) In Original Box With Wheel
78,1.7039E+11,5,21,used,0.99,4,38,firstClass,14504,no,0,Nintendo Wii Mario Kart GAME ONLY
79,2.70465E+11,3,14,used,0.99,4,45,standard,270144,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
80,2.0039E+11,5,18,used,19.99,2.95,41.95,parcel,194,yes,0,Mario Kart Wii (Wii)
81,3.20429E+11,10,15,used,9.99,6,43.36,parcel,2399,yes,1,"Mario Kart Wii (Nintendo Wii) Complete, Mint!!"
82,1.10443E+11,1,8,new,1,2.99,54.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
83,2.80405E+11,3,19,used,12,4,45.21,standard,64,yes,1,Mario Kart Wii Nintendo Super
84,1.60366E+11,7,2,used,55,9.02,65.02,parcel,25,no,4,Mario Kart Wii (Wii) + 4 nerf wheels
85,1.10439E+11,7,14,used,10,3.75,45.75,upsGround,0,yes,1,Nintendo Wii MarioKart and Steering Wheel
86,1.60366E+11,3,14,new,0.99,4,64,standard,127,yes,2,Mario Kart Wii (Wii) w/ TWO OFFICIAL STEERING WHEELS
87,2.70465E+11,7,7,used,0.99,3,36,priority,0,yes,0,Mario Kart Wii (Wii)
88,2.80402E+11,7,7,new,29.95,8.7,54.7,priority,208,yes,1,Mario Kart Wii Game with 1 Wheel - (Wii)
89,1.20476E+11,5,5,new,35,4,49.91,parcel,127,yes,1,Mario Kart Wii (Wii) - NIB - Factory Sealed - NR
90,2.20491E+11,3,16,used,0.99,4,47,parcel,231,yes,0,Mario Kart Wii (Wii)
91,2.50506E+11,7,13,used,10,0,43,standard,21,no,1,Mario Kart Wii (Wii)
92,1.4035E+11,5,10,used,9.99,1.99,35.99,upsGround,19,yes,0,Mario Kart Wii (Wii)
93,1.80418E+11,1,11,used,9.99,3.99,54.49,firstClass,69,yes,2,MARIO KART FOR NINTENDO Wii WITH 2 WHEELS + GAME
94,2.30383E+11,7,15,used,12,0,46,priority,15,yes,1,Mario Kart Wii WITH  BONUS WHEEL!!!!!
95,1.10444E+11,1,16,used,0.01,0,31.06,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
96,2.60486E+11,3,15,used,0.99,0,55.6,upsGround,54,yes,2,Mario Kart Wii (Wii) w/2 Nintendo Wheels Excellent Cond
97,1.10441E+11,3,23,new,0.99,4,40.1,standard,270144,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
98,1.10444E+11,1,20,new,1,2.99,52.59,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
99,1.80413E+11,7,9,used,10,4,44,other,103,no,2,Mario Kart Wii (Wii)
100,2.50506E+11,5,14,used,10,9.26,38.26,upsGround,35,no,1,Mario Kart (Wii) with Wii Wheel
101,1.10442E+11,5,11,used,19.99,4,51,priority,36,no,2,NINTENDO WII MARIO KART GAME DISK WITH TWO (2) WHEELS
102,2.90356E+11,1,13,new,1,2.99,48.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
103,4.00077E+11,1,1,new,54.99,11.45,66.44,upsGround,118345,yes,2,MARIO KART WITH WII WHEEL+1 GT PRO PINK WII WHEEL BUNDL
104,1.70391E+11,1,22,new,0.01,0,63.5,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
105,3.50258E+11,5,7,used,0.99,4,42,firstClass,14503,no,0,Nintendo Wii Mario Kart GAME ONLY
106,2.30382E+11,7,18,new,18,4,47,standard,389,yes,1,Mario Kart Wii (Wii)
107,2.30382E+11,5,17,used,0.99,4,55,standard,261,no,2,Nintendo Wii Mario Kart With 2 Racing Wheels
108,2.90354E+11,7,9,used,0.01,3,33.01,media,381,yes,1,MarioKart (Wii) w/ wheel
109,3.00354E+11,1,16,new,1,2.99,53.76,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
110,3.2043E+11,5,20,new,0.01,0,46,media,8224,yes,1,BRAND NEW! FACTORY SEALED! MARIO KART WITH Wii WHEEL 
111,3.60194E+11,3,16,used,0.99,4,43,standard,270143,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
112,1.7039E+11,3,5,used,35,0,42.55,priority,10,yes,1,Mario Kart Wii (Wii) with 1 Wheel
113,1.90339E+11,7,5,used,1,0,52.5,standard,116,yes,2,Mario Kart Wii with Bonus Wheel!!! (2 Wheels Included)
114,1.10441E+11,1,25,new,1,2.99,57.5,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
115,3.50261E+11,1,3,new,69.95,0,75,standard,118345,yes,3,NEW MARIO KART WITH WII WHEEL+2 GT PRO WHITE WII WHEEL
116,1.50377E+11,7,7,used,25,11.42,48.92,parcel,11,yes,1,Mario Kart Wii (Wii)
117,1.60366E+11,7,18,new,9.99,4,45.99,firstClass,1154,yes,1,MARIO KART WII WITH STEERING WHEEL NEW NINTENDO WII
118,3.50259E+11,7,10,used,0.99,4,40.05,standard,877,yes,1,Mario Kart Wii (Wii) W/RACING WHEEL!
119,1.7039E+11,1,13,new,0.01,0,45,other,556,yes,1,"Mario Kart Wii, Game and Wheel, Brand New Sealed"
120,1.40351E+11,3,8,used,20,4,50,parcel,63,yes,2,Mario Kart Wii (Wii)
121,2.50505E+11,7,16,new,9.99,9.69,49.75,priority,94,yes,0,Mario Kart Wii (Wii)  *SEALED*
122,3.70266E+11,7,3,used,38,4,47,parcel,508,no,1,Mario Kart Wii (Wii)   -   Complete!    Perfect!
123,1.10444E+11,1,17,new,1,2.99,56,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
124,3.20431E+11,1,11,used,1,0,41,priority,30,no,1,Mario Kart Wii with Wii Wheel
125,1.20477E+11,3,9,new,0.01,0,46,firstClass,1144,no,1,NEW Mario Kart Nintendo Wii Racing Game w/Wheel Online
126,2.30384E+11,7,10,used,0.99,3.99,34.99,firstClass,462,yes,1,Mario Kart Wii (Wii) Game and Steering Wheel
127,3.20432E+11,1,23,used,0.99,0,49,parcel,280,yes,2,Mario Kart Wii (Nintendo Wii) comes with 2 Wheels NEW!!
128,1.70392E+11,1,19,new,0.01,0,61,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
129,1.80416E+11,1,14,new,0.01,0,62.89,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
130,2.70466E+11,3,11,new,0.99,4,46,firstClass,299,yes,1,NINTENDO ~ MARIO KART Wii ~ NEW IN BOX ~ FACTORY SEALED
131,3.90104E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,MARIO KART WITH WII OFFICIAL WHEEL+1 COBALT BLUE WHEEL
132,3.90099E+11,7,14,used,9.95,3.99,36.99,media,2290,no,0,Mario Kart Nintendo Wii Game Complete &amp; MINT !
133,2.80404E+11,7,14,used,16,4,44,priority,37,yes,1,Mario Kart Wii w/ wheel
134,3.50258E+11,5,17,used,0.99,10.35,41.35,priority,14503,yes,1,Wii Mario Kart Game &amp; Wheel In Original Box Tested WKIN
135,2.30383E+11,7,11,used,9.99,3,37,priority,297,no,0,MarioKart Wii
136,3.00355E+11,1,18,new,1,2.99,58.98,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
137,3.50259E+11,5,20,used,0.99,4,39,firstClass,14503,yes,0,Nintendo Wii Mario Kart GAME ONLY
138,1.20476E+11,7,6,used,24.99,8.7,40.7,priority,3085,no,1,NINTENDO WII MARIOKART (WHEEL AND GAME)
139,1.10441E+11,1,20,used,0.01,0,39.51,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
140,1.50377E+11,7,9,used,17.99,0,52,parcel,121,no,2,Mario Kart Wii (Wii)
141,1.4035E+11,3,14,new,0.99,8.7,47.7,priority,251,yes,1,"Wii Mario Kart game + wheel:  NIB, factory sealed"
142,3.00352E+11,7,13,used,1,4.9,38.76,parcel,41,no,0,Mario Kart Wii
143,1.10443E+11,1,13,new,1,2.99,54.51,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
