ID,year,brand,funny,show_product_quickly,danger,celebrity,view_count,like_count,dislike_count,superbowl_ads_dot_com_url
1,2018,Toyota,FALSE,FALSE,FALSE,FALSE,173929,1233,38,https://superbowl-ads.com/good-odds-toyota/
2,2020,Bud Light,TRUE,TRUE,TRUE,TRUE,47752,485,14,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/
3,2006,Bud Light,TRUE,FALSE,TRUE,FALSE,142310,129,15,https://superbowl-ads.com/2006-bud-light-bear-attack/
4,2018,Hynudai,FALSE,TRUE,FALSE,FALSE,198,2,0,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/
5,2003,Bud Light,TRUE,TRUE,TRUE,FALSE,13741,20,3,https://superbowl-ads.com/2003-bud-light-hermit-crab/
6,2020,Toyota,TRUE,TRUE,TRUE,TRUE,23636,115,11,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/
7,2020,Coca-Cola,TRUE,FALSE,FALSE,TRUE,304254,1470,384,https://superbowl-ads.com/2020-coca-cola-energy-show-up/
8,2020,Kia,FALSE,FALSE,FALSE,TRUE,17892,78,6,https://superbowl-ads.com/2020-kia-tough-never-quits/
9,2020,Hynudai,TRUE,TRUE,FALSE,TRUE,38385,342,7,https://superbowl-ads.com/2020-hyundai-smaht-pahk/
10,2020,Budweiser,FALSE,TRUE,TRUE,TRUE,782,7,0,https://superbowl-ads.com/2020-budweiser-typical-american/
11,2010,Hynudai,FALSE,TRUE,FALSE,FALSE,68458,46,14,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/
12,2010,Bud Light,TRUE,FALSE,TRUE,FALSE,3805,9,0,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/
13,2007,Budweiser,TRUE,TRUE,FALSE,FALSE,184689,133,24,https://superbowl-ads.com/2007-budweiser-king-crab/
14,2002,Budweiser,FALSE,TRUE,FALSE,FALSE,121400,642,10,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/
16,2017,NFL,FALSE,TRUE,FALSE,FALSE,865781,2315,130,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/
17,2005,Bud Light,TRUE,TRUE,TRUE,FALSE,8990,29,0,https://superbowl-ads.com/2005-bud-light-parrot/
18,2009,Pepsi,TRUE,FALSE,TRUE,FALSE,129399,345,12,https://superbowl-ads.com/2009-pepsi-max-im-good/
19,2004,Bud Light,TRUE,TRUE,FALSE,FALSE,3739,115,1,https://superbowl-ads.com/2004-bud-light-frank/
21,2007,Bud Light,TRUE,TRUE,TRUE,FALSE,72997,86,30,https://superbowl-ads.com/2007-bud-light-slap/
22,2020,Pepsi,FALSE,TRUE,FALSE,TRUE,29219,146,38,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/
23,2019,Hynudai,TRUE,FALSE,FALSE,TRUE,38968,216,15,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/
24,2009,Budweiser,FALSE,TRUE,FALSE,FALSE,302143,527,15,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/
25,2011,Kia,TRUE,TRUE,TRUE,FALSE,36832,200,7,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/
26,2019,Doritos,FALSE,TRUE,FALSE,TRUE,41828,683,14,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/
27,2019,Pepsi,TRUE,TRUE,FALSE,TRUE,69050,773,37,https://superbowl-ads.com/2019-pepsi-more-than-ok/
28,2013,Hynudai,TRUE,TRUE,TRUE,FALSE,4302,22,0,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/
29,2019,NFL,TRUE,TRUE,FALSE,TRUE,77720,680,15,https://superbowl-ads.com/2019-nfl-nfl100/
30,2011,Coca-Cola,FALSE,FALSE,FALSE,FALSE,113771,235,8,https://superbowl-ads.com/2011-coca-cola-border/
31,2019,Pepsi,TRUE,TRUE,FALSE,TRUE,128792,961,15,https://superbowl-ads.com/2019-pepsi-bubly-buble/
32,2016,Hynudai,TRUE,FALSE,TRUE,FALSE,5049,40,3,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/
33,2010,Bud Light,TRUE,FALSE,FALSE,FALSE,85454,120,3,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/
34,2000,E-Trade,TRUE,TRUE,FALSE,FALSE,9036,51,2,https://superbowl-ads.com/2000-etrade-monkey-dance/
35,2001,Bud Light,TRUE,TRUE,FALSE,FALSE,2801,9,0,https://superbowl-ads.com/2001-bud-light-otto/
36,2018,Doritos,TRUE,TRUE,FALSE,TRUE,23327,333,6,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/
37,2001,Budweiser,TRUE,TRUE,FALSE,FALSE,50088,151,3,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/
38,2018,Coca-Cola,FALSE,TRUE,FALSE,TRUE,301,2,0,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/
39,2013,Hynudai,FALSE,FALSE,FALSE,FALSE,3667,7,2,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/
40,2004,Pepsi,TRUE,FALSE,FALSE,FALSE,179695,295,12,https://superbowl-ads.com/2004-pepsi-bears-find-food/
41,2018,Kia,FALSE,FALSE,FALSE,TRUE,16399,219,3,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/
42,2018,Pepsi,FALSE,TRUE,FALSE,TRUE,669906,2849,181,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/
44,2010,E-Trade,TRUE,TRUE,FALSE,FALSE,14927,19,1,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/
45,2017,NFL,FALSE,TRUE,FALSE,TRUE,310443,2215,323,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/
46,2000,E-Trade,TRUE,TRUE,TRUE,FALSE,67182,121,4,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/
47,2007,E-Trade,TRUE,FALSE,FALSE,FALSE,97247,97,22,https://superbowl-ads.com/2007-etrade-one-finger/
48,2000,Budweiser,TRUE,TRUE,FALSE,FALSE,5264,10,1,https://superbowl-ads.com/2000-budweiser-whaasup-game/
49,2013,Doritos,TRUE,TRUE,FALSE,FALSE,576696,2541,94,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/
50,2013,Budweiser,FALSE,TRUE,FALSE,FALSE,1171,5,2,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/
52,2009,Budweiser,TRUE,TRUE,FALSE,FALSE,49339,67,2,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/
53,2012,E-Trade,TRUE,FALSE,FALSE,FALSE,21,0,0,https://superbowl-ads.com/2012-etrade-fatherhood/
54,2019,Bud Light,TRUE,TRUE,FALSE,FALSE,36683,65,117,https://superbowl-ads.com/2019-bud-light-medieval-barbers/
55,2017,Kia,TRUE,FALSE,TRUE,TRUE,87687,589,22,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/
56,2007,Bud Light,TRUE,TRUE,TRUE,FALSE,177497,392,9,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/
57,2011,Bud Light,TRUE,TRUE,FALSE,FALSE,350,1,1,https://superbowl-ads.com/2011-bud-light-dog-sitter/
58,2016,Pepsi,FALSE,FALSE,FALSE,TRUE,40818,320,19,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/
59,2009,Hynudai,TRUE,TRUE,FALSE,FALSE,373684,585,178,https://superbowl-ads.com/2009-hyundai-angry-bosses/
60,2011,Coca-Cola,TRUE,FALSE,TRUE,FALSE,87396,53,2,https://superbowl-ads.com/2011-coca-cola-siege/
61,2016,Hynudai,TRUE,TRUE,FALSE,TRUE,11074,91,5,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/
62,2009,Doritos,TRUE,TRUE,FALSE,FALSE,41379,103,9,https://superbowl-ads.com/2009-doritos-new-flavor-pitch/
63,2010,Doritos,TRUE,TRUE,TRUE,FALSE,219464,1136,28,https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/
65,2007,Coca-Cola,FALSE,TRUE,TRUE,FALSE,249186,452,49,https://superbowl-ads.com/2007-coca-cola-video-game/
66,2019,Toyota,FALSE,TRUE,FALSE,FALSE,6713,68,5,https://superbowl-ads.com/2019-toyota-supra-wizard/
67,2002,Budweiser,TRUE,TRUE,FALSE,FALSE,38574,199,7,https://superbowl-ads.com/2002-budweiser-how-ya-doin/
68,2014,Coca-Cola,TRUE,FALSE,FALSE,FALSE,3900,14,3,https://superbowl-ads.com/2014-coca-going-all-the-way/
69,2004,Budweiser,TRUE,FALSE,FALSE,FALSE,327529,803,42,https://superbowl-ads.com/2004-budweiser-referee/
71,2015,Budweiser,TRUE,TRUE,TRUE,FALSE,7621,14,2,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/
72,2016,Hynudai,TRUE,FALSE,FALSE,TRUE,156718,1243,24,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/
73,2001,Bud Light,TRUE,FALSE,TRUE,FALSE,60774,269,10,https://superbowl-ads.com/2001-bud-light-pencil-pusher/
74,2003,Bud Light,TRUE,TRUE,TRUE,FALSE,3754,18,1,https://superbowl-ads.com/2003-bud-light-strongman/
75,2000,Bud Light,TRUE,TRUE,TRUE,FALSE,6641,7,1,https://superbowl-ads.com/2000-bud-light-hold-the-door/
77,2001,Pepsi,TRUE,FALSE,FALSE,FALSE,788,4,2,https://superbowl-ads.com/2001-pepsi-subway-miracle/
78,2014,Doritos,TRUE,TRUE,TRUE,FALSE,10929,37,3,https://superbowl-ads.com/2014-doritos-cowboy-kid/
79,2016,Budweiser,FALSE,TRUE,FALSE,TRUE,136,0,0,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/
81,2015,Budweiser,FALSE,TRUE,FALSE,FALSE,79,0,0,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/
82,2016,Kia,TRUE,FALSE,FALSE,TRUE,14395,86,1,https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/
85,2009,Coca-Cola,FALSE,TRUE,FALSE,FALSE,503550,1490,296,https://superbowl-ads.com/2009-coca-cola-heist/
87,2004,Toyota,TRUE,TRUE,TRUE,FALSE,112297,640,9,https://superbowl-ads.com/2004-toyota-revenge/
89,2017,Hynudai,FALSE,FALSE,FALSE,FALSE,907,8,0,https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/
90,2012,Bud Light,TRUE,TRUE,FALSE,FALSE,14579,42,1,https://superbowl-ads.com/2012-bud-light-rescue-dog/
91,2008,Budweiser,FALSE,TRUE,FALSE,FALSE,110004,300,7,https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/
92,2013,Hynudai,TRUE,TRUE,TRUE,FALSE,114478,1042,11,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/
93,2010,Doritos,TRUE,TRUE,FALSE,FALSE,11608,22,0,https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/
94,2016,Bud Light,TRUE,TRUE,FALSE,TRUE,487,NA,NA,https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/
95,2019,Toyota,FALSE,TRUE,FALSE,FALSE,4873,32,14,https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/
96,2009,Bud Light,TRUE,TRUE,TRUE,FALSE,54079,171,7,https://superbowl-ads.com/2009-bud-light-meeting/
98,2003,Bud Light,TRUE,TRUE,FALSE,FALSE,147160,53,15,https://superbowl-ads.com/2003-bud-light-yoga/
99,2019,Coca-Cola,FALSE,TRUE,FALSE,FALSE,81952,417,56,https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/
100,2012,Hynudai,TRUE,TRUE,TRUE,FALSE,1264,2,0,https://superbowl-ads.com/2012-hyundai-genesis-heart/
101,2011,Hynudai,TRUE,FALSE,FALSE,FALSE,319,0,0,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/
102,2015,Kia,TRUE,TRUE,TRUE,TRUE,81049,74,0,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/
103,2014,Budweiser,FALSE,FALSE,FALSE,FALSE,13141,NA,NA,https://superbowl-ads.com/2014-budweiser-a-heros-welcome/
104,2007,Bud Light,TRUE,TRUE,TRUE,FALSE,218329,309,8,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/
105,2008,Hynudai,FALSE,TRUE,FALSE,FALSE,13312,18,11,https://superbowl-ads.com/2008-hyundai-genesis-luxury/
106,2010,NFL,FALSE,FALSE,FALSE,FALSE,91378,404,14,https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/
107,2005,Pepsi,TRUE,TRUE,FALSE,FALSE,111,0,0,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/
108,2018,Budweiser,FALSE,FALSE,FALSE,FALSE,39897,138,8,https://superbowl-ads.com/41891-2/
109,2018,Bud Light,TRUE,TRUE,TRUE,FALSE,33766,144,23,https://superbowl-ads.com/bud-light-the-bud-knight/
110,2004,Bud Light,TRUE,FALSE,TRUE,FALSE,88445,118,6,https://superbowl-ads.com/2004-bud-light-sleigh-ride/
111,2002,Budweiser,TRUE,FALSE,FALSE,FALSE,13245,49,3,https://superbowl-ads.com/2002-budweiser-anniversary-card/
112,2006,Budweiser,TRUE,TRUE,FALSE,FALSE,85274,78,16,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/
113,2014,Bud Light,FALSE,TRUE,FALSE,TRUE,134186,405,27,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/
117,2014,Toyota,TRUE,TRUE,FALSE,TRUE,25834,140,5,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/
118,2009,Bud Light,TRUE,TRUE,TRUE,FALSE,30123,33,2,https://superbowl-ads.com/2009-bud-light-skier/
119,2014,Kia,FALSE,FALSE,TRUE,TRUE,17209,198,2,https://superbowl-ads.com/2014-kia-the-truth/
120,2014,Hynudai,TRUE,TRUE,TRUE,TRUE,1874,20,0,https://superbowl-ads.com/2014-hyundai-elantra-nice/
